Symbol,Quantity,Avg_Sell_Price,Current_LTP,Sold_Value,Current_Value,PL,PL_Pct
NATIONALUM,200,360.3,401.35,72060.0,80270.0,8210.0,11.39
AIAENG,7,3458.6,3673.2,24210.2,25712.4,1502.2,6.2
ONGC,99,270.55,286.35,26784.45,28348.65,1564.2,5.84
HINDALCO,100,869.9,916.35,86990.0,91635.0,4645.0,5.34
SAIL,5,149.59,154.28,747.95,771.4,23.45,3.14
AKZOINDIA,13,2909.75,2982.7,37826.75,38775.1,948.35,2.51
GICRE,100,365.55,374.5,36555.0,37450.0,895.0,2.45
ASTRAMICRO,14,919.1,938.5,12867.4,13139.0,271.6,2.11
TCS,15,2411.1,2446.2,36166.5,36693.0,526.5,1.46
COALINDIA,155,444.8,449.5,68944.0,69672.5,728.5,1.06
ATUL,1,6243.2,6305.0,6243.2,6305.0,61.8,0.99
BEL,105,415.75,419.8,43653.75,44079.0,425.25,0.97
AUROPHARMA,6,1323.9,1332.5,7943.4,7995.0,51.6,0.65
PREMIERPOL,601,61.22,0.0,36793.22,0.0,0.0,0.0
INFY,32,1285.6,1285.4,41139.2,41132.8,-6.4,-0.02
SOLARINDS,21,12927.7,12918.0,271481.7,271278.0,-203.7,-0.08
JINDALSAW,10,187.75,187.5,1877.5,1875.0,-2.5,-0.13
NITINSPIN,11,373.74,373.05,4111.1,4103.55,-7.55,-0.18
HCLTECH,5,1403.1,1399.9,7015.5,6999.5,-16.0,-0.23
ESABINDIA,2,5272.0,5249.9,10544.0,10499.8,-44.2,-0.42
LTFOODS,3,387.75,386.05,1163.25,1158.15,-5.1,-0.44
WELSPUNLIV,8,114.85,114.3,918.8,914.4,-4.4,-0.48
MAYURUNIQ,50,531.35,526.85,26567.5,26342.5,-225.0,-0.85
NMDC,1006,78.09,77.38,78558.54,77844.28,-714.26,-0.91
ADANIPORTS,4,1381.2,1367.6,5524.8,5470.4,-54.4,-0.98
MOREPENLAB,18,37.24,36.85,670.32,663.3,-7.02,-1.05
KIRLOSENG,4,1388.65,1374.0,5554.6,5496.0,-58.6,-1.05
TATASTEEL,91,195.4,193.28,17781.4,17588.48,-192.92,-1.08
TITAN,22,4088.85,4044.8,89954.7,88985.6,-969.1,-1.08
PARAS,1,637.15,630.0,637.15,630.0,-7.15,-1.12
ITC,292,296.8,291.75,86665.6,85191.0,-1474.6,-1.7
ZENTEC,1,1382.7,1358.9,1382.7,1358.9,-23.8,-1.72
LT,6,3639.7,3575.0,21838.2,21450.0,-388.2,-1.78
ALEMBICLTD,10,78.74,77.3,787.4,773.0,-14.4,-1.83
BERGEPAINT,4,425.7,417.55,1702.8,1670.2,-32.6,-1.91
SJVN,11,68.3,66.98,751.3,736.78,-14.52,-1.93
MAZDOCK,12,2281.3,2236.9,27375.6,26842.8,-532.8,-1.95
ATULAUTO,4,418.75,409.9,1675.0,1639.6,-35.4,-2.11
GIPCL,6,132.35,129.35,794.1,776.1,-18.0,-2.27
CUMMINSIND,2,4734.4,4626.3,9468.8,9252.6,-216.2,-2.28
IDEAFORGE,1,406.75,397.4,406.75,397.4,-9.35,-2.3
NAVKARCORP,9,85.54,83.13,769.86,748.17,-21.69,-2.82
AJANTPHARM,14,2894.54,2797.4,40523.6,39163.6,-1360.0,-3.36
KEI,2,4212.0,4068.1,8424.0,8136.2,-287.8,-3.42
ADANIGREEN,17,855.85,826.05,14549.45,14042.85,-506.6,-3.48
APOLLOHOSP,12,7596.0,7329.0,91152.0,87948.0,-3204.0,-3.52
POWERGRID,12,297.75,287.15,3573.0,3445.8,-127.2,-3.56
FINCABLES,5,832.95,802.7,4164.75,4013.5,-151.25,-3.63
TATAPOWER,305,392.05,377.8,119575.25,115229.0,-4346.25,-3.63
GPPL,6,150.67,145.17,904.02,871.02,-33.0,-3.65
LUPIN,2,2350.2,2264.0,4700.4,4528.0,-172.4,-3.67
GLENMARK,8,2157.6,2075.9,17260.8,16607.2,-653.6,-3.79
BHARTIARTL,73,1835.24,1763.2,133972.2,128713.6,-5258.6,-3.93
FEDERALBNK,31,272.95,262.1,8461.45,8125.1,-336.35,-3.98
AEGISLOG,4,615.55,590.4,2462.2,2361.6,-100.6,-4.09
NHPC,10,77.89,74.65,778.9,746.5,-32.4,-4.16
PNCINFRA,6,179.95,172.05,1079.7,1032.3,-47.4,-4.39
AVANTIFEED,11,1257.1,1200.8,13828.1,13208.8,-619.3,-4.48
HINDUNILVR,14,2149.4,2050.5,30091.6,28707.0,-1384.6,-4.6
IOC,34,139.68,132.9,4749.12,4518.6,-230.52,-4.85
JKTYRE,8,408.4,388.5,3267.2,3108.0,-159.2,-4.87
ICICIBANK,31,1267.3,1205.2,39286.3,37361.2,-1925.1,-4.9
RELIANCE,15,1424.8,1347.5,21372.0,20212.5,-1159.5,-5.43
SUZLON,462,42.68,40.34,19718.16,18637.08,-1081.08,-5.48
ASIANPAINT,4,2281.8,2156.5,9127.2,8626.0,-501.2,-5.49
ZYDUSLIFE,9,909.7,859.2,8187.3,7732.8,-454.5,-5.55
SBIN,371,1059.65,1000.25,393130.15,371092.75,-22037.4,-5.61
NTPC,172,378.9,357.65,65170.8,61515.8,-3655.0,-5.61
SUNPHARMA,21,1796.4,1689.9,37724.4,35487.9,-2236.5,-5.93
HDFCBANK,157,792.15,742.95,124367.55,116643.15,-7724.4,-6.21
DATAPATTNS,4,3226.65,3014.9,12906.6,12059.6,-847.0,-6.56
HUDCO,10,178.1,166.33,1781.0,1663.3,-117.7,-6.61
AUBANK,5,916.25,854.6,4581.25,4273.0,-308.25,-6.73
PAYTM,200,1063.55,991.05,212710.0,198210.0,-14500.0,-6.82
BAJFINANCE,29,881.3,819.5,25557.7,23765.5,-1792.2,-7.01
BANKBARODA,26,273.7,246.13,7116.2,6399.38,-716.82,-10.07
ASHOKLEY,6,171.5,147.17,1029.0,883.02,-145.98,-14.19
